date,beef,veal,pork,lamb_and_mutton,broilers,other_chicken,turkey
2012-11-01,2206.6,10.1,2078.7,12.4,3006.7,37.5,515.3
2012-10-01,2343.7,10.3,2210.4,14.2,3335,43.8,579.9
2012-09-01,2016,8.8,1911,12.5,2927.1,43.7,453.1
2012-08-01,2367.5,10.1,1997.9,14.2,3317.4,51,530.1
2012-07-01,2200.8,9.5,1721.8,12.5,3127,43.4,497.2
2012-06-01,2252.1,8.9,1750.4,12.4,3105.3,49.2,506.6
2012-05-01,2232,10.4,1926.8,13.6,3278,47.7,519.9
2012-04-01,1990.6,9.9,1841.7,12.9,2993.8,41.6,478
2012-03-01,2159.8,10,1987.9,14.2,3043.7,40.1,502.1
2012-02-01,2009,9.8,1882.9,12.3,2954,38.8,466.8
2012-01-01,2113.8,10.4,1987,12.1,3091.8,43.2,476.7
2011-12-01,2126.3,10.8,2065.6,12.5,2855.8,41.4,458.9
2011-11-01,2148.8,10.8,2086.7,12.6,2907.1,39.8,511.4
2011-10-01,2215.1,10.6,2033.2,11.7,3096.8,43.4,524.5
2011-09-01,2215.2,10.7,1954.4,11.8,3180.4,47,473.2
2011-08-01,2386.9,11.4,1892.1,13.1,3330.3,49.9,501.3
2011-07-01,2134.1,10.1,1637.1,10.9,3030.9,46.2,448.1
2011-06-01,2375,11.2,1820,12.6,3284.6,49.3,519.3
2011-05-01,2131.9,10.3,1759.7,12.9,3251.1,42.9,496.4
2011-04-01,2052.5,10.2,1790.7,14.4,2973.5,40.3,455.6
2011-03-01,2266.2,12.1,2054.4,14.1,3310.4,44.1,503.1
2011-02-01,2020.4,10.5,1768.1,10.9,2852.4,37.4,435.6
2011-01-01,2122.9,10.8,1896.2,11.2,3127.5,39.8,463
2010-12-01,2270.9,11.7,2055.4,14.9,3175,44.1,461.4
2010-11-01,2235.5,11.3,2068,14.4,3124.4,40.3,520.5
2010-10-01,2234.9,11.4,2002.7,13.1,3183.7,41,524.3
2010-09-01,2252.2,11.3,1883.5,13.1,3238.3,45.6,467.1
2010-08-01,2286.6,11.2,1815.3,12.8,3200,47.5,481.1
2010-07-01,2229.6,10.9,1702.2,12.8,3057.7,44.9,466.9
2010-06-01,2320,10.7,1831.7,14.1,3139.7,43.7,489.5
2010-05-01,2087.2,10.1,1621.3,12.6,3020,40.2,438.8
2010-04-01,2139.2,11.1,1849.1,12.9,3038.3,40.7,455.1
2010-03-01,2211.2,12.2,2040.1,17.7,3162,43.4,490
2010-02-01,1955.2,10.7,1757.5,12.4,2739.5,34.7,425.4
2010-01-01,2081.8,11.6,1809.7,12.8,2831.2,37.8,424.2
2009-12-01,2134.4,13.1,1985.3,15.9,2966.2,38.4,456.3
2009-11-01,2016.1,11.7,1921.7,14.3,2788.8,34.1,477.5
2009-10-01,2275.7,12.2,2089,14.3,3071.9,44.6,508.3
2009-09-01,2234.1,11.7,2002.1,14.8,3064.3,43.1,467.9
2009-08-01,2184.2,10.6,1868.9,13.3,3012.1,44.8,463.4
2009-07-01,2271.2,10.9,1828.5,13.9,3095.5,47.7,485.6
2009-06-01,2289,11.5,1847.7,13.8,3050.6,45.1,493.7
2009-05-01,2179.4,10.3,1716.8,13,2890.4,40.6,451
2009-04-01,2133.4,11.2,1925,15.5,2997.7,43.8,475
2009-03-01,2144,12.2,1969.7,15.9,2997,42.5,471.4
2009-02-01,1986,11,1817.3,12.7,2704.3,37.1,444.1
2009-01-01,2117.9,12,2027,13.3,2871.6,38.3,469.2
2008-12-01,2082,13.3,2052.1,15.4,2931.5,39.8,492.1
2008-11-01,1959.3,11.3,1886.1,12.8,2662.7,38.6,508.5
2008-10-01,2340.9,13.5,2159.9,15,3270.6,50.6,581.8
2008-09-01,2269.9,12.8,1975.8,14.5,3149.7,49,515.4
2008-08-01,2266.8,11.2,1803.9,13.3,3080.5,47.9,506.9
2008-07-01,2371.6,12.3,1852.5,13.7,3226.7,51.1,546
2008-06-01,2263.4,11.7,1761.8,13.1,3077.3,49.8,522
2008-05-01,2380.1,11.5,1815.5,15,3165.4,50,518.9
2008-04-01,2255.4,11.9,2015.6,15.3,3196.6,48,519.2
2008-03-01,2100.5,11.3,1962,16,2981.6,45.1,487
2008-02-01,2038.6,11,1902.7,15,2926.5,43.7,502.8
2008-01-01,2232.7,11.3,2159,14.7,3237.2,45.7,546.4
2007-12-01,2061.4,10.4,1972.7,15.4,2901.4,38.1,460.8
2007-11-01,2228.8,10.1,2045.2,16.1,3033.2,41,526
2007-10-01,2443,11.1,2145.1,16.4,3383.8,47.6,585.1
2007-09-01,2094.7,9.4,1746,13.6,2894.7,35.8,460.2
2007-08-01,2450.6,10.3,1850,14.8,3181.2,47.4,522.2
2007-07-01,2256.7,10.7,1659.5,13.5,3055,44.6,505.2
2007-06-01,2348.5,11.2,1654.1,13.7,3027,45,507.2
2007-05-01,2285.1,12.3,1762.6,15.5,3171.8,44.8,511.2
2007-04-01,2015,11.9,1711.5,15,2885.4,38.6,463.1
2007-03-01,2118.2,13.5,1861,19.6,2927.8,39.5,481.9
2007-02-01,1952.5,12.1,1636.3,14.4,2667.9,36.3,445.3
2007-01-01,2166,14.3,1898.5,15,3029.8,39.5,482.4
2006-12-01,2049.6,13.1,1796.4,15.4,2737.8,36.9,429.1
2006-11-01,2226.6,12.9,1896.4,15.4,2912.3,40.6,506
2006-10-01,2236.4,13.2,1932,15.7,3185.1,44,540.9
2006-09-01,2169.9,12.1,1753.7,14.3,2900.6,39.7,461.4
2006-08-01,2450,12.8,1780.2,14.6,3133.9,46.3,501
2006-07-01,2213.6,11.2,1552.6,13.2,2836,39.2,456.9
2006-06-01,2446.1,12.4,1663.3,14.4,3046.9,46.3,509
2006-05-01,2309,12.7,1726,16.1,3158.6,45.4,493.8
2006-04-01,1969.2,10.4,1618.3,16.9,2774.4,40.5,432.6
2006-03-01,2203.7,12.7,1877.5,18.3,3098.5,45.3,490.5
2006-02-01,1826.9,11.3,1637,14.7,2713.9,37.3,412.5
2006-01-01,2051,11.8,1820.5,16.3,3001.6,43.1,447.9
2005-12-01,2057.3,13.5,1866.3,16.5,2916.8,41.6,437.7
2005-11-01,2071.3,12.4,1843.2,15.8,2942.2,40.2,482.8
2005-10-01,2080.7,12.6,1816.2,15.8,3044.7,41.6,484.3
2005-09-01,2158,13.2,1743,15.6,3011.1,42.2,454.5
2005-08-01,2319,13.7,1752.3,15.4,3113.3,47.2,488.4
2005-07-01,2082.8,12.4,1505,13.4,2814.3,42,432
2005-06-01,2227,13.2,1706.5,15.3,3055.4,48.1,490
2005-05-01,2074,13.2,1611.4,14.8,3023.2,45.1,461
2005-04-01,1887.8,13,1703.4,15.5,2855.4,44.4,446
2005-03-01,2041.7,13.3,1803.7,19.5,3036.4,46.5,463.1
2005-02-01,1767.4,12,1629.2,15.1,2667.9,38.8,409.2
2005-01-01,1915.6,13.3,1704.8,14.5,2884.1,38.7,455.3
2004-12-01,2042,14.9,1857,17,2836.9,42.5,440
2004-11-01,1941,13.8,1799,16.5,2479.3,40.6,483.2
2004-10-01,2114,12.4,1779,16.3,2903.6,43.7,466.2
2004-09-01,2105,12.9,1772,16.3,2974.1,46.5,458.5
2004-08-01,2151,14,1699,15.2,2989.5,45.7,469.6
2004-07-01,2104,13.3,1576,14.2,2875.8,43.5,462
2004-06-01,2227,13.3,1672,15.6,2906.4,43.7,467.5
2004-05-01,2070,13.7,1500,13.1,2771.4,39.2,449.1
2004-04-01,1956,13.9,1725,17.5,2814.2,42.2,449.2
2004-03-01,2108,14.1,1801,22.2,2903.2,45.1,470.9
2004-02-01,1804,14.5,1571,14.8,2467.8,32.3,398
2004-01-01,1926,16,1758,15.5,2823.6,39.2,440
2003-12-01,1978,19,1869,18,2763.6,39.1,439.4
2003-11-01,1783,15.2,1718,16.3,2423.9,33.9,455.5
2003-10-01,2212,16.3,1912,17.9,3052.8,43.7,528.4
2003-09-01,2314,15.3,1668,16.9,2817.2,40.2,459.6
2003-08-01,2328,14.1,1559,15.7,2742.3,41.4,455.6
2003-07-01,2439,14.8,1580,15.7,2888.1,46.5,493.5
2003-06-01,2391,15,1531,15.2,2759.8,44.5,482.5
2003-05-01,2360,15.8,1551,15.2,2781.2,44,481.7
2003-04-01,2151,16,1659,19.5,2733.6,43.5,474.4
2003-03-01,2048,16.5,1623,18.1,2592.4,41.1,468.5
2003-02-01,1942,15.8,1523,15.1,2419.5,39.5,431.4
2003-01-01,2291,17.8,1752,16,2774.6,45.2,479.8
2002-12-01,2107,18,1715,18.5,2527.4,42.2,463.4
2002-11-01,2164,16.9,1709,17.8,2455.5,40.9,492.3
2002-10-01,2512,18.7,1831,19.7,2953.3,50.7,525.9
2002-09-01,2201,16.3,1638,17.6,2596.4,46.4,444.6
2002-08-01,2469,16.7,1637,16.6,2828.3,49.2,481.9
2002-07-01,2427,16.7,1557,16.3,2826.5,48.3,485.6
2002-06-01,2302,14.6,1479,15.1,2587.1,44,452.9
2002-05-01,2336,15.5,1646,19.5,2894.9,46.5,496.8
2002-04-01,2195,16.1,1672,19.1,2751.8,47.3,491.3
2002-03-01,2059,15,1581,22.2,2585.1,42.8,447.2
2002-02-01,1987,14.3,1482,17.8,2453.6,40.8,448.2
2002-01-01,2331,16.9,1717,17.7,2779.9,48,482.7
2001-12-01,2110,16,1668,19,2464.8,40.9,419.8
2001-11-01,2201,16,1733,20,2500.7,39.4,493
2001-10-01,2389,18,1838,20,2897.2,47,541.3
2001-09-01,2121,15,1513,16,2438.7,40.9,429.1
2001-08-01,2425,17,1600,19,2850.7,46.6,494.9
2001-07-01,2177,16,1435,17,2592.8,42.5,470.1
2001-06-01,2269,16,1458,16,2636.6,44,463.9
2001-05-01,2294,16,1555,17,2835.6,45.6,488.3
2001-04-01,1939,15,1533,20,2515.7,42.2,428.8
2001-03-01,2096,16,1626,23,2588.6,44.4,462
2001-02-01,1881,16,1486,17,2322.2,39.7,409.3
2001-01-01,2205,18,1693,19,2622.2,42.7,461.2
2000-12-01,1997,18,1579,21,2357.7,,403.4
2000-11-01,2169,18,1714,20,2553.3,,482.3
2000-10-01,2345,18,1717,18,2632.5,,499.6
2000-09-01,2275,17,1554,17,2421.8,,427.8
2000-08-01,2437,17,1643,18,2754.4,,486.6
2000-07-01,2202,18,1409,16,2417.7,,425.9
2000-06-01,2369,18,1538,17,2672.2,,483.4
2000-05-01,2303,19,1542,17,2741.7,,492.3
2000-04-01,2027,17,1398,23,2340.4,,416.5
2000-03-01,2300,20,1704,24,2687.9,,469.7
2000-02-01,2175,18,1558,20,2487.9,,414.9
2000-01-01,2178,17,1572,19,2427.6,,399.9
1999-12-01,2113,20,1705,24,2466,,430
1999-11-01,2144,19,1707,22,2420.1,,490
1999-10-01,2265,19,1698,20,2481,,472.6
1999-09-01,2275,20,1618,19,2497.9,,454.9
1999-08-01,2307,20,1565,19,2516.4,,468.8
1999-07-01,2256,19,1489,17,2471.4,,438.2
1999-06-01,2321,19,1584,17,2587.7,,455.6
1999-05-01,2151,17,1417,18,2476,,440.8
1999-04-01,2155,18,1629,21,2528.1,,439.3
1999-03-01,2231,20,1737,29,2607.4,,431.7
1999-02-01,1998,17,1501,20,2263.8,,363.8
1999-01-01,2170,18,1628,18,2425.7,,410.9
1998-12-01,2100,22,1799,23,2395.3,,431.1
1998-11-01,2003,19,1683,19,2192.4,,461.6
1998-10-01,2236,21,1757,20,2496.9,,474.3
1998-09-01,2197,22,1591,19,2322.1,,429.5
1998-08-01,2228,20,1505,17,2265.7,,413.2
1998-07-01,2213,21,1529,18,2354.1,,459.3
1998-06-01,2248,20,1444,20,2347.3,,457.9
1998-05-01,2123,19,1419,19,2259.6,,421.2
1998-04-01,2090,20,1566,25,2383.2,,446.9
1998-03-01,2081,23,1596,26,2332.6,,440.9
1998-02-01,1977,21,1457,21,2144.9,,410.9
1998-01-01,2157,24,1634,21,2368.5,,433.7
1997-12-01,2024,26,1641,23,2305.6,,460.4
1997-11-01,1934,24,1473,20,2025.5,,453.5
1997-10-01,2300,28,1652,22,2500,,513.7
1997-09-01,2126,28,1490,21,2283.9,,462.6
1997-08-01,2221,25,1352,19,2272.4,,456.3
1997-07-01,2256,27,1354,20,2307.3,,491.8
1997-06-01,2132,26,1312,21,2239.7,,483.3
1997-05-01,2189,26,1332,22,2343.8,,468.5
1997-04-01,2095,28,1446,22,2353.9,,452.2
1997-03-01,1966,28,1422,26,2170.6,,401.9
1997-02-01,1919,27,1309,21,2097.8,,391.7
1997-01-01,2222,31,1461,20,2370.2,,442.1
1996-12-01,1950,31,1429,22,2099.8,,410.9
1996-11-01,1955,30,1429,21,2013.2,,468.4
1996-10-01,2179,34,1591,23,2414.3,,523.4
1996-09-01,1934,31,1408,20,2117,,444.4
1996-08-01,2262,32,1395,20,2277.8,,481.6
1996-07-01,2194,32,1340,20,2233.3,,489
1996-06-01,2186,29,1206,18,2069.8,,456.1
1996-05-01,2302,30,1413,21,2299.4,,485.2
1996-04-01,2154,28,1485,25,2201.7,,436.6
1996-03-01,2035,30,1422,27,2155.2,,424.7
1996-02-01,2048,30,1417,24,2168.4,,429.4
1996-01-01,2220,30,1550,23,2286.5,,415.8
1995-12-01,1998,26,1507,23,2018.5,,396.8
1995-11-01,2098,27,1608,23,2082.9,,466.7
1995-10-01,2181,27,1574,22,2234.8,,483
1995-09-01,2220,26,1438,21,2055.9,,424
1995-08-01,2316,26,1504,23,2181,,451.7
1995-07-01,2089,24,1299,19,1944.9,,413.1
1995-06-01,2285,26,1464,22,2232,,482.1
1995-05-01,2186,26,1525,23,2211.6,,443.4
1995-04-01,1854,22,1404,27,1912.6,,371.9
1995-03-01,2067,27,1634,30,2196.7,,435.8
1995-02-01,1811,24,1354,24,1890.4,,371.2
1995-01-01,2010,27,1500,24,2059.4,,389.1
1994-12-01,2020,26,1642,26,1979.2,,397.5
1994-11-01,1978,25,1639,24,1986.4,,453.9
1994-10-01,2116,25,1631,23,2062.9,,459.1
1994-09-01,2135,23,1539,23,2079.1,,447.7
1994-08-01,2215,24,1493,24,2206.2,,483.6
1994-07-01,2027,21,1294,19,1881.5,,405.6
1994-06-01,2156,24,1411,24,2073.3,,457.9
1994-05-01,1985,22,1396,28,1986.5,,415.6
1994-04-01,1901,22,1432,27,1924.3,,380.6
1994-03-01,2001,26,1530,34,2028,,400.9
1994-02-01,1802,22,1275,27,1751.6,,342
1994-01-01,1942,23,1376,25,1887,,347.8
1993-12-01,1948,24,1554,28,1877.4,,375.3
1993-11-01,1891,23,1509,26,1810.2,,461.8
1993-10-01,1980,22,1472,25,1872,,451.4
1993-09-01,2027,22,1440,27,1914.9,,436
1993-08-01,2065,23,1389,27,1905.3,,426.9
1993-07-01,1984,21,1311,26,1801.8,,419.3
1993-06-01,2051,22,1377,31,1979.4,,446.7
1993-05-01,1857,19,1309,27,1790.4,,378.7
1993-04-01,1782,22,1465,30,1867.2,,391.9
1993-03-01,1858,26,1480,32,1897.1,,382.9
1993-02-01,1677,21,1289,25,1659.6,,322.7
1993-01-01,1822,22,1435,25,1802.8,,354.1
1992-12-01,1855,26,1524,29,1817.8,,393.1
1992-11-01,1784,23,1455,27,1595,,423
1992-10-01,2015,24,1588,29,1834,,467.6
1992-09-01,1996,23,1511,30,1803.5,,431.3
1992-08-01,1980,24,1378,25,1763.3,,411.9
1992-07-01,2015,24,1375,27,1819.9,,451.8
1992-06-01,2039,25,1332,27,1824.7,,435
1992-05-01,1900,25,1287,25,1740.3,,374.2
1992-04-01,1787,25,1414,33,1729.7,,385.2
1992-03-01,1850,27,1467,32,1760.6,,361.3
1992-02-01,1708,25,1329,28,1580.7,,331.7
1992-01-01,2039,28,1525,31,1782.9,,362.9
1991-12-01,1782,27,1444,31,1615.9,,349.9
1991-11-01,1813,26,1456,29,1513.4,,419.2
1991-10-01,2114,28,1534,32,1833.9,,482
1991-09-01,1940,24,1316,28,1590.8,,404.8
1991-08-01,2077,22,1299,27,1746.8,,421.8
1991-07-01,1996,22,1207,28,1721.3,,402.2
1991-06-01,1874,20,1140,25,1579.1,,380.7
1991-05-01,1947,23,1291,30,1743.9,,398.2
1991-04-01,1872,23,1361,29,1701.7,,375.8
1991-03-01,1720,25,1300,36,1530.9,,329.7
1991-02-01,1695,25,1204,30,1485.5,,322
1991-01-01,1970,31,1396,33,1664.4,,365.6
1990-12-01,1681,27,1342,30,1437,,328.6
1990-11-01,1842,28,1373,30,1566.9,,446.2
1990-10-01,2044,31,1392,32,1768.6,,478.4
1990-09-01,1815,26,1228,27,1421.4,,382.9
1990-08-01,2063,28,1310,30,1688.8,,444
1990-07-01,1945,25,1103,27,1516.8,,395.7
1990-06-01,1981,25,1142,27,1535.7,,389.2
1990-05-01,2007,25,1257,31,1635.1,,384.1
1990-04-01,1748,22,1248,31,1489.3,,328.4
1990-03-01,1870,28,1329,32,1540.1,,351.1
1990-02-01,1706,24,1213,29,1368,,298.3
1990-01-01,1932,27,1363,32,1586.6,,334
1989-12-01,1827,25,1288,31,1491.1,,334.9
1989-11-01,1906,28,1446,31,1432.2,,423.1
1989-10-01,2041,31,1421,30,1497.1,,422.6
1989-09-01,1913,28,1349,27,1426.2,,385.7
1989-08-01,2092,29,1333,29,1604.2,,430.3
1989-07-01,1888,27,1108,25,1365,,360.4
1989-06-01,2022,29,1266,26,1514.5,,388.6
1989-05-01,1999,29,1341,28,1538.5,,356.9
1989-04-01,1756,27,1322,26,1335.8,,268.8
1989-03-01,1887,31,1373,34,1473.4,,301.3
1989-02-01,1744,28,1205,27,1270.1,,248.1
1989-01-01,1899,32,1307,27,1386,,254.1
1988-12-01,1872,32,1425,29,1328.4,,272.8
1988-11-01,1876,33,1463,27,1307.1,,371.7
1988-10-01,2007,34,1443,28,1379.1,,395.7
1988-09-01,2041,33,1360,28,1378.7,,365.8
1988-08-01,2162,35,1282,28,1421.9,,377.3
1988-07-01,1982,31,1133,24,1234.1,,322.4
1988-06-01,2025,34,1233,27,1398,,373.2
1988-05-01,1918,30,1231,27,1367.3,,331.3
1988-04-01,1841,28,1263,26,1313.5,,276.6
1988-03-01,1925,33,1362,35,1400.4,,314
1988-02-01,1829,32,1184,26,1289.7,,266.9
1988-01-01,1946,32,1244,24,1306.1,,255.7
1987-12-01,1924,36,1390,28,1336.8,,297
1987-11-01,1828,32,1312,25,1177.1,,373.5
1987-10-01,2098,36,1359,28,1383.6,,411.4
1987-09-01,2040,35,1227,28,1371.2,,383.9
1987-08-01,2007,30,1075,24,1257,,357.4
1987-07-01,2017,34,1082,25,1337.9,,358.8
1987-06-01,1958,35,1086,24,1371.5,,335.8
1987-05-01,1851,32,1071,22,1261,,274.1
1987-04-01,1928,34,1170,29,1274.5,,255
1987-03-01,1907,38,1226,27,1298.2,,241.9
1987-02-01,1745,35,1070,24,1160.7,,212.8
1987-01-01,2102,39,1244,25,1275.7,,215.4
1986-12-01,1971,41,1221,28,1252.2,,248.2
1986-11-01,1808,37,1117,24,1050.4,,307.1
1986-10-01,2146,44,1285,30,1255.7,,365.8
1986-09-01,2050,43,1137,30,1241.6,,331.4
1986-08-01,2076,41,1037,25,1181,,299.4
1986-07-01,2147,45,1063,26,1197.5,,307.6
1986-06-01,2027,41,1065,24,1194.5,,275.8
1986-05-01,2109,43,1211,25,1229.1,,236.4
1986-04-01,2110,45,1292,29,1249.6,,205.2
1986-03-01,1860,43,1198,32,1115.8,,193.6
1986-02-01,1769,40,1106,27,1087,,175
1986-01-01,2140,46,1266,31,1211.3,,187.5
1985-12-01,1855,46,1215,30,1094.1,,210.7
1985-11-01,1812,42,1241,28,997.8,,282.5
1985-10-01,2108,46,1358,33,1252.5,,341.5
1985-09-01,1985,42,1196,28,1081.9,,288.3
1985-08-01,2123,41,1210,29,1198.4,,295.2
1985-07-01,2059,43,1147,28,1203.3,,271.1
1985-06-01,1898,37,1125,24,1094.8,,238.5
1985-05-01,2089,42,1329,29,1221.5,,212.5
1985-04-01,1936,41,1289,30,1196.6,,177.3
1985-03-01,1858,40,1232,33,1082.5,,176.4
1985-02-01,1768,37,1105,28,991.5,,148
1985-01-01,2066,42,1281,32,1154.9,,157.7
1984-12-01,1830,39,1220,30,995.4,,182.8
1984-11-01,1924,43,1326,30,1018.7,,271.7
1984-10-01,2182,46,1411,33,1212.8,,320.8
1984-09-01,1904,39,1139,29,1026.1,,255.4
1984-08-01,2112,44,1175,31,1210.5,,279.6
1984-07-01,1936,40,1041,28,1102.7,,242.3
1984-06-01,1984,38,1156,27,1113.5,,223.6
1984-05-01,2060,39,1281,31,1184.4,,202.6
1984-04-01,1776,36,1233,34,1052.2,,163.1
1984-03-01,1937,40,1338,35,1069,,155.1
1984-02-01,1859,36,1165,32,984.5,,139
1984-01-01,1914,39,1235,31,1028.9,,138.1
1983-12-01,1965,37,1350,30,941.6,,189
1983-11-01,1935,39,1468,29,937.2,,288.7
1983-10-01,2062,41,1388,32,1038.4,,281.3
1983-09-01,2090,38,1273,33,1044.7,,263.7
1983-08-01,2118,39,1250,33,1113.1,,271.8
1983-07-01,1807,33,1134,28,977.4,,224.8
1983-06-01,1970,34,1266,29,1125.2,,231.3
1983-05-01,1859,32,1243,30,1096.3,,183.7
1983-04-01,1727,32,1262,30,1054.3,,166.5
1983-03-01,1892,37,1303,36,1106.2,,182.7
1983-02-01,1707,32,1021,27,933.6,,135.5
1983-01-01,1928,34,1159,30,1021,,144.1
1982-12-01,1907,37,1203,31,971.3,,192.7
1982-11-01,1891,36,1257,31,929.8,,289.8
1982-10-01,2020,37,1178,31,1010.4,,276.6
1982-09-01,1987,38,1112,32,1043.1,,267.7
